Sidney 2000
ID;Name;Sex;Age;Height;Weight;Team;NOC;Season;City;Sport;Medal
30;Pepijn Aardewijn;M;30.0;189.0;72.0;Netherlands;NED;Summer;Sydney;Rowing;
36;Stefan Remco Aartsen;M;25.0;194.0;78.0;Netherlands;NED;Summer;Sydney;Swimming;
76;Jouan Patrice Abanda Etong;M;22.0;185.0;82.0;Cameroon;CMR;Summer;Sydney;Football;Gold
580;Svetlana Olegovna Abrosimova;F;20.0;188.0;77.0;Russia;RUS;Summer;Sydney;Basketball;
755;Ali Enver Adakan;M;23.0;186.0;100.0;Turkey;TUR;Summer;Sydney;Sailing;
1002;Daniel Adomako;M;20.0;170.0;69.0;Ghana;GHA;Summer;Sydney;Athletics;
1169;Marilyn Agliotti;F;21.0;172.0;58.0;South Africa;RSA;Summer;Sydney;Hockey;
1272;Yosvany Aguilera Zamora;M;25.0;163.0;54.0;Cuba;CUB;Summer;Sydney;Boxing;
1499;Ian Richard Ainslie;M;35.0;190.0;89.0;South Africa;RSA;Summer;Sydney;Sailing;
1541;Yakubu Aiyegbeni;M;17.0;170.0;79.0;Nigeria;NGR;Summer;Sydney;Football;
1546;Eirini Andili;F;17.0;167.0;45.0;Greece;GRE;Summer;Sydney;Rhythmic Gymnastics;Bronze
1566;Kouadio Vincent Aka-Akesse;M;24.0;180.0;96.0;Cote d'Ivoire;CIV;Summer;Sydney;Wrestling;
1640;Giorgos Akhilleos;M;19.0;172.0;75.0;Cyprus;CYP;Summer;Sydney;Shooting;
1836;Hamdan Awdah Al-Bishi;M;19.0;180.0;70.0;Saudi Arabia;KSA;Summer;Sydney;Athletics;
1867;Khaled Al-Dosari;M;28.0;189.0;90.0;Saudi Arabia;KSA;Summer;Sydney;Taekwondo;
2072;Tatiana Al-Najar;F;33.0;160.0;60.0;Jordan;JOR;Summer;Sydney;Table Tennis;
2075;Ali Khamis Rashid Al-Neyadi;M;22.0;170.0;72.0;United Arab Emirates;UAE;Summer;Sydney;Athletics;
2111;Hilal Al-Rasheedi;M;37.0;175.0;77.0;Oman;OMA;Summer;Sydney;Shooting;
2165;Jahad Abdullah Al-Sheikh;M;28.0;174.0;68.0;Oman;OMA;Summer;Sydney;Athletics;
2193;Mohamed Al-Yami;M;20.0;170.0;65.0;Saudi Arabia;KSA;Summer;Sydney;Athletics;
2530;Simretu Alemayehu;M;29.0;182.0;68.0;Ethiopia;ETH;Summer;Sydney;Athletics;
2534;Berhanu Alemu;M;18.0;179.0;63.0;Ethiopia;ETH;Summer;Sydney;Athletics;
2579;Niconnor Nico Alexander;M;23.0;170.0;69.0;Trinidad and Tobago;TTO;Summer;Sydney;Athletics;
2601;Alexandros Alexios Alexopoulos;M;29.0;185.0;84.0;Greece;GRE;Summer;Sydney;Athletics;
2736;Nazirdin Alikbekov;M;34.0;168.0;62.0;Kyrgyzstan;KGZ;Summer;Sydney;Athletics;
2814;Lvia Allrov;F;26.0;169.0;53.0;Slovakia;SVK;Summer;Sydney;Synchronized Swimming;
2863;Walter Ray Allen;M;25.0;192.0;93.0;United States;USA;Summer;Sydney;Basketball;Gold
2877;Katherine Fiona Kate Allenby;F;26.0;177.0;72.0;Great Britain;GBR;Summer;Sydney;Modern Pentathlon;Bronze
3328;Elena Amato;F;16.0;165.0;50.0;Italy;ITA;Summer;Sydney;Rhythmic Gymnastics;
3329;Serena Bibiana Amato;F;26.0;170.0;63.0;Argentina;ARG;Summer;Sydney;Sailing;Bronze
4164;Susan Elizabeth Sue Andrews;F;29.0;173.0;62.0;Australia;AUS;Summer;Sydney;Athletics;
4377;Vida Anim;F;16.0;162.0;60.0;Ghana;GHA;Summer;Sydney;Athletics;
4704;Mihai Apostol;M;29.0;185.0;85.0;Canada;CAN;Summer;Sydney;Canoeing;
4778;Marcel Abner Pvoa Arago;M;22.0;180.0;81.0;Brazil;BRA;Summer;Sydney;Judo;
4821;Idalberto Aranda Quintero;M;25.0;160.0;73.5;Cuba;CUB;Summer;Sydney;Weightlifting;
