A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
C ,C ,12
D ,D ,22
C ,D ,5
D ,D ,8
C ,C ,4
U ,U ,13
C ,C ,10
D ,D ,20
C ,D ,5
D ,D ,8
C ,C ,4
U ,U ,13
C ,C ,10
D ,D ,20
C ,D ,5
D ,D ,8
C ,C ,4
U ,U ,13
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
C ,C ,12
D ,D ,22
C ,D ,5
D ,D ,8
C ,C ,4
U ,U ,13
C ,C ,10
D ,D ,20
C ,D ,5
D ,D ,8
C ,C ,4
U ,U ,13
C ,C ,10
D ,D ,20
C ,D ,5
D ,D ,8
C ,C ,4
U ,U ,13
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
C ,C ,12
D ,D ,22
C ,D ,5
D ,D ,8
C ,C ,4
U ,U ,13
C ,C ,10
D ,D ,20
C ,D ,5
D ,D ,8
C ,C ,4
U ,U ,13
C ,C ,10
D ,D ,20
C ,D ,5
D ,D ,8
C ,C ,4
U ,U ,13
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
C ,C ,12
D ,D ,22
C ,D ,5
D ,D ,8
C ,C ,4
U ,U ,13
C ,C ,10
D ,D ,20
C ,D ,5
D ,D ,8
C ,C ,4
U ,U ,13
C ,C ,10
D ,D ,20
C ,D ,5
D ,D ,8
C ,C ,4
U ,U ,13
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
C ,C ,12
D ,D ,22
C ,D ,5
D ,D ,2
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
C ,C ,12
D ,D ,22
C ,D ,5
D ,D ,8
C ,C ,4
U ,U ,13
C ,C ,10
D ,D ,20
C ,D ,5
D ,D ,8
C ,C ,4
U ,U ,13
C ,C ,10
D ,D ,20
C ,D ,5
D ,D ,8
C ,C ,4
U ,U ,13
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
A ,A ,10
B ,B ,20
A ,B ,4
B ,B ,7
A ,A ,3
T ,T ,11
C ,C ,12
D ,D ,22
C ,D ,5
D ,D ,8
C ,C ,4
U ,U ,13
C ,C ,10
D ,D ,20
C ,D ,5
D ,D ,8
C ,C ,4
U ,U ,13
C ,C ,10
D ,D ,20
C ,D ,5
D ,D ,8
C ,C ,4
U ,U ,13
E ,E ,14
F ,F ,24
E ,F ,6
F ,F ,9
E ,E ,2
G ,G ,15
E ,E ,10
F ,F ,21
E ,F ,6
F ,F ,9
E ,E ,2
G ,G ,15
E ,E ,10
F ,F ,21
E ,F ,6
F ,F ,9
E ,E ,2
G ,G ,15
H ,H ,16
I ,I ,26
H ,I ,7
I ,I ,10
H ,H ,1
J ,J ,17
H ,H ,11
I ,I ,22
H ,I ,7
I ,I ,10
H ,H ,1
J ,J ,17
H ,H ,11
I ,I ,22
H ,I ,7
I ,I ,10
H ,H ,1
J ,J ,17
K ,K ,18
L ,L ,28
K ,L ,8
L ,L ,11
K ,K ,3
M ,M ,19
K ,K ,12
L ,L ,23
K ,L ,8
L ,L ,11
K ,K ,3
M ,M ,19
K ,K ,12
L ,L ,23
K ,L ,8
L ,L ,11
K ,K ,3
M ,M ,19
N ,N ,20
O ,O ,30
N ,O ,9
O ,O ,12
N ,N ,4
P ,P ,21
N ,N ,13
O ,O ,24
N ,O ,9
O ,O ,12
N ,N ,4
P ,P ,21
N ,N ,13
O ,O ,24
N ,O ,9
O ,O ,12
N ,N ,4
P ,P ,21
Q ,Q ,22
R ,R ,30
Q ,R ,10
R ,R ,13
Q ,Q ,5
S ,S ,23
Q ,Q ,14
R ,R ,26
Q ,R ,10
R ,R ,13
Q ,Q ,5
S ,S ,23
Q ,Q ,14
R ,R ,26
Q ,R ,10
R ,R ,13
Q ,Q ,5
S ,S ,23
T ,T ,24
U ,U ,30
T ,U ,11
U ,U ,14
T ,T ,6
