Atenas 2004
ID;Name;Sex;Age;Height;Weight;Team;NOC;Season;City;Sport;Medal
23;Fritz Aanes;M;26.0;187.0;89.0;Norway;NOR;Summer;Athina;Wrestling;
49;Moonika Aava;F;24.0;168.0;65.0;Estonia;EST;Summer;Athina;Athletics;
72;Aleksey Aleksandrovich Abalmasov;M;24.0;180.0;83.0;Belarus;BLR;Summer;Athina;Canoeing;
75;Giorgos Abalof;M;22.0;178.0;70.0;Greece;GRE;Summer;Athina;Fencing;
81;Georgios Abaris;M;22.0;190.0;77.0;Greece;GRE;Summer;Athina;Football;
84;Stephen Anthony Abas;M;26.0;165.0;55.0;United States;USA;Summer;Athina;Wrestling;Silver
90;Tamila Rashidovna Abasova;F;21.0;163.0;60.0;Russia;RUS;Summer;Athina;Cycling;Silver
90;Tamila Rashidovna Abasova;F;21.0;163.0;60.0;Russia;RUS;Summer;Athina;Cycling;
93;Jol Marc Abati;M;34.0;190.0;85.0;France;FRA;Summer;Athina;Handball;
95;Georgia Abatzidou;F;35.0;155.0;43.0;Greece;GRE;Summer;Athina;Athletics;
96;Carlos Rodolfo Abaunza Balladares;M;18.0;168.0;60.0;Nicaragua;NCA;Summer;Athina;Athletics;
113;Bassim Abbas Kati Al-Ogaili;M;22.0;175.0;80.0;Iraq;IRQ;Summer;Athina;Football;
120;Mohammed Abbas Sabih;M;26.0;170.0;70.0;Iraq;IRQ;Summer;Athina;Swimming;
122;Nader Sufyan Abbas;M;28.0;173.0;77.0;Qatar;QAT;Summer;Athina;Weightlifting;
123;Sohail Abbas;M;29.0;178.0;80.0;Pakistan;PAK;Summer;Athina;Hockey;
127;Shakeel Abbasi;M;20.0;165.0;60.0;Pakistan;PAK;Summer;Athina;Hockey;
155;Mohamed Ibrahim Abd El-Fatah Mohamed;M;26.0;185.0;98.0;Egypt;EGY;Summer;Athina;Wrestling;
157;Mohamed Ibrahim Abd El-Salam;M;22.0;192.0;83.0;Egypt;EGY;Summer;Athina;Handball;
165;Nia Nicole Abdallah;F;20.0;175.0;56.0;United States;USA;Summer;Athina;Taekwondo;Silver
180;Heba Abdel Gawad;F;22.0;154.0;48.0;Egypt;EGY;Summer;Athina;Synchronized Swimming;
184;Ragy Abdel Hady;M;30.0;186.0;100.0;Egypt;EGY;Summer;Athina;Water Polo;
201;Karim Abdel Mohsen;M;25.0;188.0;92.0;Egypt;EGY;Summer;Athina;Water Polo;
215;Ibrahim Ahmed Abdel Rehim;M;21.0;190.0;83.0;Egypt;EGY;Summer;Athina;Fencing;
225;Shaimaa Abdel-Latif-Hashad;F;23.0;165.0;57.0;Egypt;EGY;Summer;Athina;Shooting;
238;Mohamed Abdellah;M;36.0;170.0;70.0;Egypt;EGY;Summer;Athina;Shooting;
256;"Abdihakim ""Abdi"" Abdirahman";M;27.0;178.0;61.0;United States;USA;Summer;Athina;Athletics;
257;Ali Abdo;M;23.0;169.0;74.0;Australia;AUS;Summer;Athina;Wrestling;
266;Raouf Abdou;M;22.0;165.0;60.0;Egypt;EGY;Summer;Athina;Modern Pentathlon;
310;Patmawati Abdul Wahid;F;32.0;158.0;58.0;Indonesia;INA;Summer;Athina;Weightlifting;
311;Haidar Abdul-Amir Hassan;M;21.0;185.0;80.0;Iraq;IRQ;Summer;Athina;Football;
312;Haidar Abdul-Razzaq Hassan;M;22.0;175.0;75.0;Iraq;IRQ;Summer;Athina;Football;
323;Aquil Hashim Abdullah (Shumate-);M;31.0;187.0;83.0;United States;USA;Summer;Athina;Rowing;
339;Namiq Yadulla Abdullayev;M;33.0;167.0;55.0;Azerbaijan;AZE;Summer;Athina;Wrestling;
352;Sherzod Abdurahmonov;M;22.0;178.0;73.0;Uzbekistan;UZB;Summer;Athina;Boxing;
357;Yusup Abdusalomov;M;26.0;170.0;84.0;Tajikistan;TJK;Summer;Athina;Wrestling;
361;Aybek Abdymomunov;M;18.0;162.0;54.0;Kyrgyzstan;KGZ;Summer;Athina;Boxing;
377;Yuki Abe;M;22.0;177.0;75.0;Japan;JPN;Summer;Athina;Football;
387;Sonia Abejn Esteban;F;19.0;169.0;48.0;Spain;ESP;Summer;Athina;Rhythmic Gymnastics;
397;Mara Abel Diguez;F;29.0;163.0;46.0;Spain;ESP;Summer;Athina;Athletics;
428;Elvan Abeylegesse;F;21.0;159.0;40.0;Turkey;TUR;Summer;Athina;Athletics;
450;Ceyhun Abiyev;M;29.0;163.0;48.0;Azerbaijan;AZE;Summer;Athina;Boxing;
488;Ibrahim Mohamedin Aboubaker;M;21.0;190.0;65.0;Qatar;QAT;Summer;Athina;Athletics;
498;El-Sayed Aboumedan;M;26.0;178.0;81.0;Egypt;EGY;Summer;Athina;Judo;
514;Ara Abrahamian;M;29.0;191.0;84.0;Sweden;SWE;Summer;Athina;Wrestling;Silver
543;Pavel Sergeyevich Abramov;M;25.0;198.0;89.0;Russia;RUS;Summer;Athina;Volleyball;Bronze
565;Glauclio Serro Abreu;M;26.0;185.0;75.0;Brazil;BRA;Summer;Athina;Boxing;
583;Julien Absalon;M;23.0;180.0;68.0;France;FRA;Summer;Athina;Cycling;Gold
591;Abdul Wahab Abu Al-Hail Labid;M;27.0;180.0;79.0;Iraq;IRQ;Summer;Athina;Football;
598;Omar Abu-Fares;M;19.0;178.0;69.0;Jordan;JOR;Summer;Athina;Swimming;
600;Nagmeldin Ali Abubakr;M;18.0;172.0;63.0;Sudan;SUD;Summer;Athina;Athletics;
601;Sanna Abubkheet;F;19.0;157.0;52.0;Palestine;PLE;Summer;Athina;Athletics;
609;Fartun Abukar Omar;F;18.0;170.0;58.0;Somalia;SOM;Summer;Athina;Athletics;
616;Shigeru Aburaya;M;27.0;163.0;51.0;Japan;JPN;Summer;Athina;Athletics;
617;Cristobal Alejandro Aburto Tinoco;M;28.0;161.0;60.0;Mexico;MEX;Summer;Athina;Judo;
621;Anas Sameer N. H. Abuyousuf;M;14.0;181.0;77.0;Qatar;QAT;Summer;Athina;Swimming;
663;Sharath Kamal Achanta;M;22.0;186.0;85.0;India;IND;Summer;Athina;Table Tennis;
700;"Nathaniel Leedom ""Nate"" Ackerman";M;26.0;173.0;74.0;Great Britain;GBR;Summer;Athina;Wrestling;
737;"Amelia Lynn ""Amy"" Acuff (-Harvey)";F;29.0;188.0;66.0;United States;USA;Summer;Athina;Athletics;
749;Miho Adachi;F;25.0;165.0;58.0;Japan;JPN;Summer;Athina;Canoeing;
755;Ali Enver Adakan;M;27.0;186.0;100.0;Turkey;TUR;Summer;Athina;Sailing;
756;Adalberto Pereira da Silva;M;25.0;189.0;105.0;Brazil;BRA;Summer;Athina;Handball;
780;Tony Adam;M;18.0;169.0;61.0;Germany;GER;Summer;Athina;Diving;
824;Luke Kendall Adams;M;27.0;189.0;70.0;Australia;AUS;Summer;Athina;Athletics;
846;Valerie Kasanita Adams-Vili (-Price);F;19.0;193.0;120.0;New Zealand;NZL;Summer;Athina;Athletics;
847;Morten Gundro Adamsen;M;22.0;181.0;84.0;Norway;NOR;Summer;Athina;Rowing;
868;"Frances ""Fran"" Adcock";F;20.0;178.0;72.0;Australia;AUS;Summer;Athina;Swimming;
1001;Svajnas Adomaitis;M;19.0;175.0;55.0;Lithuania;LTU;Summer;Athina;Wrestling;
1022;Sharnol Leonard Adriana;M;33.0;185.0;95.0;Netherlands;NED;Summer;Athina;Baseball;
1023;"Adriana ""Adrianinha"" Moiss Pinto";F;25.0;170.0;65.0;Brazil;BRA;Summer;Athina;Basketball;
1024;Elisngela Maria Adriano;F;32.0;180.0;96.0;Brazil;BRA;Summer;Athina;Athletics;
1032;Serhiy Mykolaiovych Advena;M;20.0;190.0;82.0;Ukraine;UKR;Summer;Athina;Swimming;
